,Tweets,Locations,Polarity,lenght
495, dda OFFICIAL Illegal occupancy of dda land and converting it to parking cricket pit,,-1,84
496,dda Do you this shame detail in Hindi Language If Yes so please share the Link,New Delhi India,0,78
497, OFFICIAL pollution dda Dear Sir Kindly send us the exact location of the complaint your,,1,88
498, pollution Newly constructed drain are open from above from day one no manholes were installed resulting is mosquito b,,1,118
499,dda India DDA Housing Scheme 2021 For Payment PNB bank not exist My account in PNB only so how can i proceed further kindly advise,India,1,130
500,dda NHRC DDA Stops Illegal FAR Construction at DPS CGHS Dwarka,New Delhi India,-1,62
501, Join our webinar india,Bhubaneswar,0,23
502,India 82 dda Please save msme Rip GST NirmalaSitharaman GST PMOIndia GSTAmnesty GSTLateFees500,Rajasthan India,0,94
503,dda Kindly update on this,New Delhi India,1,25
504, king dda dear sir in the DDA JSA typing test which will held on 16 Feb On that typing test if we correct any inco,,0,114
505, king dda Dear Sir plz tell us that how will be the typing speed calculated in the DDA JSA typing test which held,,0,113
506,dda Dear Sir plz tell us that how will be the typing speed calculated in the DDA JSA typing test which held on 16 February 2021,,0,127
507,dda Please share whether the biometric for mutation cases will begin from 4feb or not at NSK,,0,92
508,dda Please publish DDA jsa typing instructions notice,Patna India,0,53
509, DelhiDevelopmentAuthority to reopen public hearing at its headquarters Vikas Sadan from February 4 Entry only for th,pune,0,117
510, pollution TUNTUN dda PLEASE TAKE NECESSARY ACTION,New Delhi India,1,50
511,pollution TUNTUN dda PLEASE TAKE NECESSARY ACTION b,,1,51
512,Delhi Development Authority allows public hearings with Covid 19 norms check details DelhiDevelopmentAuthority PublichearingsatDDA PublichearingsatVikasSadan DDApublichearings Delhinews dda,New Delhi India,0,189
513,DDA to re open public hearing at Vikas Sadan from 04 02 2021 with social distancing norms,New Delhi India,1,89
514, DelhiDevelopmentAuthority to reopen public hearing at its headquarters Vikas Sadan from February 4 Entry only for th,Mumbai,0,117
515,DelhiDevelopmentAuthority to reopen public hearing at its headquarters Vikas Sadan from February 4 Entry only for those with no risk low risk status on Aarogya Setu app dda,,0,172
516,dda Company is not providing GIs survey no Instantly why they taking time,,0,73
517,dda pollution OFFICIAL OFFICIAL Resolved Some strangers throw garbage Malba and trash on this road every day Also it is to inform you that all the garbage Malba of this road is regularly cleaned by us from time to time,New Delhi India,0,218
518,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
519,dda under what section or provision you have allowed mobile towers four floor permissions to LIG flats Commercial use to the property owners DelhiModel Official has turned a blind eye so did dda MPD2041,New Delhi India,-1,202
520,dda Complaint forwarded to the concerned department for redressal,Delhi India,-1,65
521,OFFICIAL dda Please note that no action has been taken till date as the footpaths remains encroached doing open defacation open fire Littering all over the place leading to foul smell in the surrounding,New Delhi India,-1,202
522,dda dear dda board of recruitment i have to know about hindi typing that is 100 accuracy is compulsory for selection,,0,116
523,dda There is no clear guideline about dda jsa retyping test still now I request DDA to publish the detailed notification There is so much confusion about the rules of typing test Please clear all doubts of the candidates,,1,220
524,dda Fwd Request To Your Kind Self Please Accept Our Application Of Allotment Of This Said Plot In DDA PDR Rates Basis Policy Ref No PMOPG E 2021 0036715,,1,152
525, ViPin Announce all post dda result 2020 dda,,0,44
526,pollution dda Please take action against the complaint received at CPCB and update Complaint ID CPCBTW 10351,New Delhi India,-1,108
527, Announce all post dda result 2020 dda,,0,38
528,dda Open drain ready for a big Accident No one is ready to solve the issue Address Pocket 15A Sec 24 Rohini Delhi 85 9015303090,,1,127
529,dda Shame Shame Shame For how long you will hold the results of DDA Recruitment 2020 21 Various Posts For last 2 months you are saying Shortly next week tomorrow and what not Set aside the JSA issue amp declare Other Posts Results,Madhubani Bihar,-1,230
530,dda Announce all post dda result 2020 official,,0,46
531,Announce all post dda results dda,New Delhi India,0,33
532,dda announce all post dda result 2020,,0,37
533,Announce all post dda result 2020 official,,0,42
534, shot M COUNTDOWN Teaser Kim Wooseok cut Snippet of the choreography KIMWOOSEOK Official 2ND DESIRE TASTY,she her,0,105
535,Announce all post dda result 2020 dda,,0,37
536,Announce all post dda result 2020 dda,Madhubani Bihar,0,37
537,Announce all post dda result 2020 dda,,0,37
538,dda kindly look into this matter And solve this issue as soon as possible,Najafgarh New Delhi,1,73
539,dda Hi dda what will be the pattern of DDA JSA typing Please let me know,,0,72
540,dda why DDA not declared result of other post or only JSA is important for DDA,,1,78
541,Please put in public domain the revenue collection from for storage of cemented poles on DDD land MTNL ground opposite ACP office near BSES MMG office dda,,1,154
542,India Office dda News Two other cases on DDA Housing Scheme 2010 against most corrupt dda are also pending for the last 7 years In all three pending cases penalty of 10 000 Crores is likely to be awarded by India against DDA and instead CCI is acting as KumbhKaran,New Delhi,-1,264
543,India Office Why Investigation Report of India Dt 21 12 2017 in Rohini Residential Scheme 1981 case no 78 of 2016 against dda has not been implemented even after 3 yrs Is this the way India function for public related cases News,New Delhi,0,228
544, FanUnion February 2 2020 was indeed a Happy Day Thank you Hangyul and Dohyon for always being our light Thank you also t,she her,1,121
545,dda Announce all post dda result 2020 official,,0,46
546,Please visit official website for the details,New Delhi India,0,45
547,dnwm official I m looking forward to it,Indonesia,0,39
548,official hope you have fun with nias,she her,1,36
549,dnwm official Thankyouuuuu,Indonesia,0,26
550,official hello bong welcome to the nia fam,she her,1,42
551,dda dda NO ACTION TAKEN UNAUTHORIZED CONSTRUCTION FIRST FLOOR SHOP NUMBER 86 20 BLK DDA MARKET NEAR 20 BLK GURUDWARA TILAK NAGAR COVERED ALL ENTRACE AREA RIKSHAW REDIYAN TRANSFORMER IS THERE AFTER 6 PM OR 7PM NO ONE CAN ENTER PLEASE CLEAN,Tilak Nagar New Delhi,1,238
552,dda dda IPS Malik1 NO ACTION TAKEN IT S BEEN A MONTH WHY IT WILL TAKE SO MUCH TIME UNAUTHORIZED CONSTRUCTION COVERED ALL TRANSFORMER AREA,Tilak Nagar New Delhi,1,137
553, dda dda MAHESH S,Tilak Nagar New Delhi,0,17
554,batez18 Oh you are a classic Ea fan boy who supports there goldn boys huh btw theres an official statement of EA about there DDA You can not tell me you have bot been handicapped in fifa If so im done with this conversation,Iraq,1,223
555,dda DDA File No PMOPG E 2021 0036715 Kindly Check The 1 DDA Report On The Said Petitions 2 DDA Performa Of Demand Cum Allotment Order There In Also A Purposal Of Allotment Approved By Lt Governor Of Delhi,,1,204
556,dda Dear DDA please tell about result date of Patwari as many aspirants are waiting for it As 3 months have been passed but there is no information about Patwari Pre result Please make announcement it s an humble request,,1,220
557,dda how can we give suggestions for Delhi s master plan,New Delhi India,0,55
558, Abhishek Verma topped the selection trials held at DDA Yamuna Sports Complex Delhi with the score of 1422 1440 and made a,Bengaluru India,-1,122
559, KWS Wooseok looks so Tasty KIMWOOSEOK 2ND DESIRE TASTY Sugar official,she her,0,70
560,dda Thenks,India,0,10
561,FANUNION MIRAE MIRAE congratulations on your new journey with dongpyo as well thank you for your hard work,she her,-1,106
562, FANUNION ANNOUNCEMENT MIRAE MIRAE,she her,0,34
563,dda I hope possession letter will issue as soon as possible already 15 days passed after document submission,,0,108
564, KWS Kim Wooseok s Eye make up never failed to amazed me Freakin pretty KIMWOOSEOK 2ND DESIRE TASTY Sugar,she her,1,105
565, shot Red Moon amp Sugar Parallel Universe 2ND DESIRE TASTY KIMWOOSEOK Official,she her,0,79
566,SO WHERE DO WE BUY THIS CAKE AND I ESPECIALLY WANT THAT CUTE TOPPING 2ND DESIRE TASTY SUGAR KIMWOOSEOK official,she her,1,111
567,WOOSEOK IS BEAUTIFUL BEAUTIFUL IS WOOSEOK 2ND DESIRE TASTY SUGAR KIMWOOSEOK official,she her,1,84
568,official OH YES,she her,0,15
569,dda respected sir ma am Please provide us demo for typing for JSA if possible so that we can prepare accordingly Also give all related instructions as soon as possible Thanks and regards,New Delhi India,1,186
570,dda Kindly share the public dealing timings for dda vikas sadan What is the appointment system to meet DD of my area for Land Disbursal grievances dda,,1,150
571, Abhishek Verma topped the selection trials held at DDA Yamuna Sports Complex Delhi with the score of 1422 1440 and made a,,-1,122
572, dda The selection trial was done to select top 12 archers for India Camp amp Archery World Cups,,1,96
573,dda Just look the confidence on his face,Narnaul,0,40
574,Narender ed India dda Correct,New Delhi India,0,29
575,dda results are on hold Please release It s been more than 3 months,Noida,1,67
576,dda Students who have qualified tier 1 and CPT is only called for re typing test,,0,80
577,OFFICIAL pollution What about the illegal construction happening at the terrace of DDA flat by the owner of 2151 C2 VASANT Kunj for which I had launched complaint in Nov 2020,Pune India,-1,174
578,Social official Such a fun game Laughing everytime I heard Wooseok s dda KIMWOOSEOK 2ND DESIRE TASTY Sugar official,woo ddadda s world,-1,115
579,dda vijender It s really sad No one visit from DDA neither they track their agencies working on contract Poor management,,-1,120
580,dda sir I want to know if someone opted hindi for typing test and want to take test in english is that allowed,Kanpur India,0,110
581,dda it has been 3 months why no results still,,0,45
582,pollution dda Dear Sir Kindly send us the exact location of the complaint your phone number and email id so that your complaint can be lodged with the concerned agency for official redressal amp two way communication Regards Complaint Redressal Team CPCB,New Delhi India,-1,254
583, dda dda after complained also no action taken by DDA So unfortuna,,-1,66
584,The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,71
585,TUNTUN dda Kindly take necessary action and upload ATR,New Delhi India,1,54
586,OFFICIAL The issue has been duly noted We will keep you updated,New Delhi India,0,63
587,OFFICIAL The issue has been duly noted We will keep you updated,New Delhi India,0,63
588,dda please sir reply about when my flat will be free hold appliaction status shown is under process since long filed for free hold in September 2020 please reply,New Delhi Delhi,1,161
589,dda dda Please take action against the complaint received at CPCB and update Complaint ID CPCBTW 10327,New Delhi India,-1,102
590,dda dda Please take action against the complaint received at CPCB and update Complaint ID CPCBTW 10323,New Delhi India,-1,102
591,dda How much is the payment for the post of patwari so that aspirants can arrange After settlement of payment result will be announced I guess,New Delhi India,1,142
592,pollution OFFICIAL The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,90
593,OFFICIAL pollution The issue has been duly noted We will keep you updated,New Delhi India,0,73
594,pollution Newly constructed drain are open from above from day one no manholes were installed resulting is mosquito breeding deseases accident make it cover soon OFFICIAL dda location Timarpur Delhi 110054,New Delhi India,1,205
595,pollution dda Please take action against the complaint received at CPCB and update Complaint ID CPCBTW 9918,New Delhi India,-1,107
596,OFFICIAL dda Official Garbage has been removed on the site by SDMC staff Photo attached,New Delhi India,0,87
597,OFFICIAL dda Cleaning work has been done on this site by SDMC staff photo attached,New Delhi India,0,82
598,pollution dda Please take action against the complaint received at CPCB and update Complaint ID CPCBTW 9372,New Delhi India,-1,107
599,dda Pls tell about the result date of patwari aao SO horticulture exam 2020 and the refund of dda mali exam fees,,0,112
600,dda 3 3 It s my suggestion if DDA can allow candidates to bring their own keyboard hence this problem of faulty keyboard can be sorted out Kindly Look into this matter Thanks,New Delhi India,1,174
601,dda Moreover they also don t change keyboard when request is made This problem was faced by many candidates in the previous typing test held by DDA,New Delhi India,1,147
602,dda 1 3 Sir Madam As DDA is conducting Typing Test again It is my request to DDA that please don t allot Ion Digital Zone IIMT Greater Noida as typing test centre because they have faulty and worst keyboard for typing,New Delhi India,-1,217
603, Myanmar GA KIMWOOSEOK comeback albums Please Rt Prizes 2 albums Donor who donate for fundraising of Genie and Youtube Str,,0,122
604,OFFICIAL dda Noted for action and complaint forward to concerned deptt,New Delhi India,-1,70
605,dda dda MAHESH SHOP NUMBER 86 20 BLOCK DDA MARKET NEAR 20 BLOCK GURUDWARA RIKSHAW REDIYAN COVERED ALL ENTRACE UNAUTHORIZED FIRST FLOOR PLEASE CLEAN THE SPACE HELP US,Tilak Nagar New Delhi,1,165
606,OFFICIAL dda anju Toilet cleaning has been done by SDMC staff photo attached,New Delhi India,-1,76
607,dda mcd Your complaint no is PWD 2021 02 232950,PWD HeadQuater ITO,-1,47
608,Sachdeva archery dda Happy Birthday Padam Shri Limba Ram amp Congrats to Virender Ji for concluded National trial,New Delhi,1,113
609,OFFICIAL dda anju Noted for action and complaint forward to concerned deptt,New Delhi India,-1,75
610,dda sir when will you declare the results of aao post why are you playing with our future,,0,89
611,WIIL DDA patwari result announce or not dda patwariresult,New Delhi India,0,57
612, dda The selection trial was done to select top 12 archers for India Camp amp Archery World Cups,,1,96
613, Abhishek Verma topped the selection trials held at DDA Yamuna Sports Complex Delhi with the score of 1422 1440 and made a,,-1,122
614, Abhishek Verma topped the selection trials held at DDA Yamuna Sports Complex Delhi with the score of 1422 1440 and made a,,-1,122
615,dda Children from Saliskote Village in Zanskar must hear from Abhishek,India,0,70
616,dda When will the patwari pre exam result declare Please reply sir,,0,66
617, shot SUGAR is composed by Kim Wooseok and the composers of Memories Lee Eunsang amp Kim Wooseok KIMWOOSEOK Officia,she her,0,115
618,MIRAE MIRAE GO GO GO SON DONGPYO,she her,0,32
