,Tweets,Locations,Polarity,lenght
79, Few hours left until KIM WOOSEOK SUGAR MV is out Please don t forget about these few VIEWING GUIDELINES Let s stream SUG,she her,-1,121
80, MY MY 8 13 February 2021 Please,she her,0,32
81, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,Delhi,0,123
82,dda Review the So horticulture result again because not done properly normalization maximum candidate available in shortlist only shift 1,,1,137
83,Dpt pollution OFFICIAL southwest Official Agmut dda MoHUA requesting you for public grievance redressal DelhiModel,New Delhi India,0,114
84,dda Execlty there was some kind of blunder made by dda people having low score than us has made in to the shortlist Please explain,,1,130
85,Big mistake made by dda during preparation of result normalization and shortlisting the candidates please review the results for the post of Section officer Horticulture dda,,0,173
86, HASHTAG PAY is scheduled for tomorrow Feb 8th at 4 00PM KST Let s celebrate Wooseok s comeback by trending hash,she her,0,112
87, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,Ranchi India,0,123
88, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,,0,123
89,dda Review the SO Horticulture result again dda,Ranchi India,0,47
90, dda It s a blunder in result declaration,,0,41
91, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,,0,123
92, Big mistake by dda during preparation of result normalization of score and shortlisting the candidates for Documents v,,0,119
93, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,New Delhi India,0,123
94,dda ekta apartment sector 3 dwarka desperately needs swings in the society park Swings are broken and rusted which are injourious for kids The ground is dusty without a patch of grass The entire society is half painted after a contract with dda got pending,New Delhi India,-1,256
95,dda Sir I have not been able to make any instalment of demand money for Rohini Res Scheme 1981 due to covid amp other reasons What could be done now,,1,148
96,dda Yes the results should be reviewed once again by dda authority,Bihar India,0,66
97,dda It s a blunder in result declaration,,0,40
98, Big mistake by dda during preparation of result normalization of score and shortlisting the candidates for Documents v,,0,119
99, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,,0,123
100, Big mistake by dda during preparation of result normalization of score and shortlisting the candidates for Documents v,New Delhi,0,119
101, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,,0,123
102,Big mistake by dda during preparation of result normalization of score and shortlisting the candidates for Documents verification please ones review the results for the post of Section officer Horticulture becoz it s our future matter dda,,0,238
103,dda Sir I have not been able to deposit any instalment of demand money for Rohini res scheme 1981 due to covid amp other reasons Please let me know what can I do now,,1,165
104, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,,0,123
105, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,,0,123
106, Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results fo,Dehradun India,0,123
107,NaMo The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,76
108,dda Pl take action in Chappan Bigha Park Shastri Nagar Delhi 110052 against locals who have made the park a trash can People also burn garbage in the park Also there are people who have encroached in the park It has become a safety issue too dda,Delhi India,1,245
109,Big mistake by dda during preparation of result normalization and shortlisting the candidates please review the results for the post of Section officer Horticulture dda,New Delhi,0,168
110,do we have a hashtag for wooseokie tonight KIMWOOSEOK official,she her,0,62
111,dda OFFICIAL dda day two complaint pgms 2021013242 OFFICIAL let s see who take action or break Me or your system,New Delhi Delhi,-1,112
112,dda Dear DDA As mentioned in notification for DDA Steno that typing will be only on Remington Gail layout but a lot of candidates know Inscript layout So please provide an option for the Inscript Layout so that all the candidates can get a fair chance,Basti India,1,251
113, dda What is the tentative timings for DDA Patwari Tier 2 Mains examination which is scheduled on 28th Febru,,0,108
114, 8 10 February 2021 P,she her,0,21
115, dda Requesting you to provide inscript layout in mangal font of hindi stenography As SSC also provide insc,,0,107
116,dda Requesting you to provide inscript layout in mangal font of hindi stenography As SSC also provide inscript layout With this you can light a candle in poor home,,0,163
117,dda NaMo In front of house no 200 Bharat Nagar Delhi 52 that belongs to DDA Horticulture I lodged many complaints but till date no action taken Provide a number to share photographs and videos Last complaint REFERENCE ID G130128302 Dated 28 09 2020 to DDA,,1,255
118, India MoHUA India India dda,Pune India,0,28
119,NaMo It will be really helpful if you could share your complaint in detail so that we can lodge your complaint with the concerned department,New Delhi India,-1,140
120,I had lodged many complaints in MCD amp DDA horticulture whosoever d land is to clean it amp put gate in the entrance but from last 1 year no action had been taken by anyone amp then we talk of Swach Bharat Abhiyan NaMo dda,,1,223
121,There is a park right in front of house no 200 Bharat nagar Which is in a stinky and bad condition that become a garbage bin now NaMo dda,,-1,137
122, All these beautiful stages for Sugar KIMWOOSEOK official,she her,1,57
123,dda What is the tentative timings for DDA Patwari Tier 2 Mains examination which is scheduled on 28th February,,0,110
124,dda Exam pattern of Patwari for Tier II,Sonipat India,0,39
125,,,0,0
126, pandey,,0,7
127,dda Thanks for this info bro,,1,28
128,dda gadkari Please sir you all think of Mayur vihar problem is Very Very poor so you are all think about it s,,-1,109
129,It will be really helpful if you could send us the exact location of the complaint so that we can lodge your complaint with the concerned department,New Delhi India,-1,148
130,It will be really helpful if you could send us the exact location of the complaint so that we can lodge your complaint with the concerned department,New Delhi India,-1,148
131,official dda There is urgent need to hasten the xecution of whole process under LPP by dda to ensure early allotment of land for construction purpose thereby causing generation of employment to those workers who r badly in need of such job who became jobless due to pandemic,,-1,274
132,dda gadkari Please take the necessary action on priority,New Delhi India,1,56
133,OFFICIAL dda OFFICIAL this is hw u r minimizing the size of dumping ground to spread whole city garbage on the road This behaviour of urs show hw bothered u r,Noida India,1,158
134, dda dda R sir Due to your timely intervention a,,-1,48
135,dda dda R sir Due to your timely intervention and order resulted to solve unattended DDA road near Khora chowk mayur vihar3 towards Papermarket since many is going on full swing Please ensure quality of work Thank you,New Delhi India,1,217
136,D 1 I m ready for your SUGAR official KIMWOOSEOK,,1,48
137, dda Official,Tilak Nagar New Delhi,0,13
138, dda Official,Tilak Nagar New Delhi,0,13
139, Sameer Complaint complaint 12999984 All Sector 24 Rohini roads are filled with dust and pits and creating dust polluti,Rohini New Delhi,-1,119
140,dda please declare PATWARI POST cut off for stage 1,,0,51
141, dda Delhi shopkeepers are getting harrassed and getting such l,New Delhi,0,63
142,dda i apply patwari post and obtain 68 mark in obc category i m not selected But i want to know cut off of dda patwari in obc category and normalisation formula apply or not Thanx and regards,Noida India,0,191
143, dda Water pump in front of Gate 1 Pocket 3 Sector 34 Rohini used to supply water in plants and green area i,India,-1,108
144,Culmination of plogging week by DXR at ManaTrail on 5th day with pledge with pangale dda,,0,88
145,gadkari Official News The issue has been duly noted and forwarded to the concerned department,New Delhi India,0,93
146,OFFICIAL We regret the inconvenience caused to you over the delay in addressing your issue The concerned department will act to resolve the matter at the earliest,New Delhi India,0,162
147, 21st century National Capital of India And residents are still dependent on water tanker technology of,India,0,103
148,OFFICIAL dda No action by dda,New Delhi Delhi,-1,29
149,dda recruitment cell is requested to please shift postpone or prepone the stenographer skill date exam as stenographer skill is on the same date 21st Feb Sir we r alrdy short of employment opportunities in these times Please help,,0,229
150,So dda are conducting exam for the same post on Same day i e 21 02 2021,New Delhi,0,71
151,a cheat India dda MoHUA Newspaper GoI What is the latest status of possession letter for DDA Rohini 1981 scheme,New Delhi India,1,111
